musical_id,title,poster_url,genre,date,location,actors,age_rating,running_time,describe,synopsis
194401,몬테크리스토,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/10/0400012310_194401_01.951.gif,라이선스,2023/11/21 ~ 2024/02/25,충무아트센터 대극장,"이규형,서인국,고은성,김성철,선민,이지혜,허혜진,최민철,강태을,김성민,김재현,이한밀,김대호,김용수,서범석,전수미,박은미,이주순,장윤석,성민재...",8세이상,165분 (인터미션 : 20분),,"정의는 갖는 자의 것  사랑은 주는 자의 것  촉망받는 젊은 선원 에드몬드 단테스는 오랜 항해를 마치고  마르세유로 돌아온다. 아름다운 연인 메르세데스와 약혼식이 열리고 마을 사람들의 축복 속에 행복한 미래를 꿈꾸지만  메르세데스를 흠모하는 몬데고와선장자리를 차지하려는 당글라스 정치적 야심을 가진 빌포트 검사장의 음모로  에드몬드는 억울한 누명을 쓴 채 외딴 섬의 샤토디 감옥에 투옥된다.  에드몬드는 14년간갇혀 지낸 감옥에서 우연히 만난  괴짜 신부 파리아의 도움으로 탈출 계획을 세우며,  파리아 신부에게 언어, 경제, 검술 등의 많은 가르침을 받고,  감옥에 투옥된 진실을 마주하게 되며 복수심에 불타오른다.  탈출하던 중 갑작스러운 사고로 심각한 부상을 입은 파리아 신부는  에드몬드에게 몬테크리스토 섬의 보물에 대해 알려주고,  보물을 찾을 수 있는 지도를 건네며,  분노와 복수를 사는 대신, 희망을 살라는 말을 남기고 세상을 떠난다.  탈출에 성공한 뒤 몬테크리스토 섬에서  끝없이 펼쳐진 보물을 발견한 에드몬드는 엄청난 부를 손에 쥐게 되고,  자신의 신분을 '몬테 크리스토 백작'으로 바꿔 다시 태어난다.  그는 곧, 자신에게 누명을 씌운 적들을 찾아가 복수를 감행하지만,  파리아 신부가 말한 '희망'의 의미를 깨닫게 되며  또 한 번 새롭게 태어나게 된다."
194066,오페라의 유령 - 대구,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_194066_01.gif,라이선스,2023/12/22 ~ 2024/02/04,대구 계명아트센터,"조승우,최재림,김주택,손지수,송은혜,송원근,황건하,윤영석,이상준,이지영,한보라,박회림,김아선...",초등학생이상 관람가,150분 (인터미션 : 20분),,"거부할수없는 강렬한 이끌림  가면속에 감춰진 아름다운 러브스토리  파리 오페라 하우스  무명 무용수였던 크리스틴은 우연히 새로운 공연의 주인공으로 발탁되고  그녀의 아름다운 노랫소리는 모두를 매료시키며 최고의 프리마돈나로 급부상한다  유령의 초대, 그리고 경고  분장실에 홀로 있던 크리스틴은 흰 마스크로 얼굴을 숨긴 채 나타난 유령에게 이끌려  지하미궁으로 사라진다. 크리스틴의 실종으로 혼란에 빠진 오페라하우스에는  유령의 경고장이 한장씩 도착한다  거부할 수 없는 운명  다시 돌아온 크리스틴,  하지만 지하미궁 유령의 은신처에서 그의 정체를 알게 된 크리스틴은  공포에 사로잡히고 그녀를 사랑하는 귀족 청년 라울은 사랑을 맹세하며  크리스틴을 유령에게서 구해내기 위해 계획을 세우는데...."
193886,렌트,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193886_01.438.gif,라이선스,2023/11/11 ~ 2024/02/25,코엑스 신한카드 아티움,"백형훈,장지후,정원영,배두훈,김환희,이지연,전나영,김수연,정다희,배수정,김호영,조권,윤형렬,임정모,구준모,최원섭...",14세이상,160분 (인터미션 : 20분),"Groundbreaking on Broadway!푸치니의 오페라 <라보엠>을 현대화한 록 뮤지컬!에이즈, 동성애, 마약중독 등 파격적 소재와 록, R＆B, 탱고, 발라드, 가스펠 등 다양한 음악의 향연!오프-브로드웨이 초연 하루 전 요절한 천재 극본, 작곡, 작사가 조나단 라슨의 자전적 이야기!Iconic!Revolutionary Musical브로드웨이에서 12년간 5123회 공연, 전세계 50개국 25개의 언어로 무대화. 브로드웨이에서 11번째로 롱런한 뮤지컬!뉴스위크지 표지 장식, 퓰리처상과 토니상 베스트 뮤지컬 상 동시 석권!‘RENT-HEADS’라는 팬덤을 창조하며 대중문화(Pop Culture) 현상으로 자리 잡은 수작!Return with Breathtaking Casting!렌트, 3년만에 크리스마스 시즌을 맞아 다시 돌아오다!지난 시즌, 관객들의 열렬한 지지를 받았던 장지후, 정원영, 배두훈, 김호영, 임정모, 전나영, 정다희와 백형훈, 김환희, 이지연, 윤형렬, 조권, 김수연, 배수정, 구준모 등 신진 세력이 함께 만들어갈 열정의 무대!브로드웨이 렌트의 해외 협력 연출 앤디 세뇨르 주니어가 선사하는 젊은이들의 사랑, 우정, 고뇌와 치열함, 그리고 용기가 가득한 이야기［PRESS REVIEW］명작은 유행을 타지 않는다. 삶은 일방적으로 흐르지만, 가치는 떠내려가지 않는다.- 뉴시스 이재훈기자좋은 노래에 공감력을 부여하는 건 ‘렌트’의 동시대성이다. 1990년대 뉴욕을 배경으로 한 작품이지만 사회 불평등과 기성체제에 저항하는 지금 우리나라 젊은이들 모습과 크게 다를 바 없다.- 세계일보 박성준기자수식어가 필요 없는, ‘역시 렌트’였다. 무대 위 파격과 도발은 여전했고, 젊은이들의 꿈과 방황·사랑이 빚어내는 메시지의 울림은 더욱 크게 느껴졌다.- 서울경제 송주희기자친구들. 흔들리고, 섣부르고 때로는 불안한 청춘들의 삶이 계속되는 한, 렌트의 가치는 ‘불멸’(不滅)하다. 뮤지컬의 ‘상징’ 같은 작품.- 이데일리 윤종성기자","로저와 마크는 뉴욕 슬럼가에 살고 있다. 그들이 세들어 있는 건물의 주인은 옛날의 친구이자 룸메이트였던 베니인데, 베니는 한때 친구들처럼 자유로운 예술을 꿈꿨지만 결국 생활고에 시달리다가 돈 많은 여자와 결혼해서 떠나버렸다. 예전에 친구들에게 했던 말과는 다르게 지난 2년 동안 밀린 집세를 내라고 요구하며 베니는 자신이 소유하고 있는 건물들을 재개발할 계획을 세우고 역시 그들의 친구인 모린은 이에 반대할 퍼포먼스를 계획하고 있다. 그 와중에 로저와 마크는 베니의 면전에서 ""작년 것도, 올해 것도, 내년 것도 집세 안 낼 거야!"" 라면서 버틴다.

크리스마스 이브에 베니는 로저와 마크를 찾아와 모린을 막아주면 밀린 집세를 감면해주겠다고 제안한다. 물론 제안은 거절당하고, 마크는 모린의 연락을 받고는 모린의 무대 장치 셋업을 돕기 위해 집을 나선다. 로저가 혼자 남아있는 사이 같은 건물에 살고 있는 미미가 찾아오고,둘은 서로 호감을 느끼지만, 로저는 그러한 자신의 감정을 거부하며 미미를 밀어낸다. 한편, 뉴욕을 떠나있던 친구 콜린스가 앤젤이라는 새로운 친구(이자 곧 애인이 될)를 데리고 로저와 마크를 찾아온다. 마크는 연적 조앤을 만나 모린의 바람기에 대해 언급하고, 로저는 미미를 친구들과 함께할 저녁식사에 초대한다. 마크, 조앤, 콜린스와 앤젤은 모린의 공연을 관람한다. 모린의 퍼포먼스가 성공해 동네에서는 대규모로 시위가 열리고 그들은 같이 크리스마스를 축하하는 파티를 벌이며 1막이 끝난다. 파티 와중에 미미 역시 에이즈 환자라는 것을 알게된 로저와 미미는 결국 파티 중에 맺어지는데 ..."
193988,드라큘라,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193988_01.352.gif,라이선스,2023/12/06 ~ 2024/03/03,샤롯데씨어터,"김준수,전동석,신성록,임혜영,정선아,아이비,손준호,박은석,진태화,임준혁,이예은,최서연,김도현,김도하...",,,"죽음을 초월한 세기의 로맨스10주년 공연으로 돌아온 뮤지컬 <드라큘라>매 시즌 관객과 평단의 전폭적인 지지를 얻은 명실상부 스테디셀러작최정상 크리에이티브 팀의 노하우로 성공적인 프로덕션을 선보이며판타지 뮤지컬의 새로운 역사를 써내려간 <드라큘라>가역대 최고의 배우들과 함께 다시 한번 흥행불패 신화를 이어간다눈 앞에 펼쳐지는 무대 예술의 황홀경압도적인 스케일로 다채로운 볼거리와 극강의 몰입감 선사국내 최초로 도입된 4중 회전 무대플라잉(Flying) 기술이 어우러진 입체적인 연출19세기 유럽을 옮겨 놓은 듯한 고딕풍 디자인몽환적인 느낌의 특수효과와 함께 강렬한 색채 조명까지뮤지컬의 묘미를 극대화하며 무대 미학의 진수를 보여준다천재 작곡가 ‘프랭크 와일드혼’의영혼을 울리는 감미롭고 아름다운 음악한국인이 사랑하는 뮤지컬 작곡가 ‘프랭크 와일드혼’의서정적이면서도 중독성 강한 넘버는 캐릭터의 매력과 서사를 완성시키며작품 특유의 정서를 끌어올림과 동시에보는 이로 하여금 깊은 여운을 전한다흥행을 이끌어온 오리지널 캐스트와뉴 캐스트의 합류로 완성된 초호화 라인업한 여인을 사랑하기 위해 영원한 삶을 선택한 ‘드라큘라’그를 사랑할 수밖에 없는 운명의 여인 ‘미나’김준수, 전동석, 신성록, 임혜영, 정선아, 아이비 그리고손준호, 박은석, 진태화, 임준혁, 이예은, 최서연, 김도현, 김도하까지!한층 더 막강해진 캐스팅 라인업으로 뮤지컬 <드라큘라>의거부할 수 없는 유혹이 다시 시작된다","빅토리아 시대가 끝나갈 무렵 유럽,트란실바니아의 영주 드라큘라는 이주를 위해영국의 토지를 매입하고자 하고이 일을 위임받은 젊은 변호사 조나단과 그의 약혼녀 미나는드라큘라의 초청으로 그의 불가사의한 성에 도착한다.미나를 마주한 드라큘라는 그녀가 오랫동안 기다려 온 사랑이라는 것을 확신하고,미나는 드라큘라에게 거부할 수 없는 운명적 이끌림을 느낀다.한편, 미나의 절친한 친구인 루시는드라큘라를 만난 뒤로부터 알 수 없는 병으로 앓게 되고저명한 학자인 반 헬싱 교수는 루시를 보자마자자신이 오랜 시간 동안 연구해 온 뱀파이어의 존재를 직감하고드라큘라를 추적하기 시작하는데..."
195191,일 테노레,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/10/0400012310_195191_01.651.gif,창작,2023/12/19 ~ 2024/02/25,예술의전당 CJ 토월극장,"홍광호,박은태,서경수,김지현,박지연,홍지희,전재홍,신성민...",만 7세이상,160분 (인터미션 : 20분),"신춘수 프로듀서 X 윌&휴 창작진의 만남올 하반기 최고의 기대작 뮤지컬 <일 테노레>작품성과 흥행성을 겸비한 다수의 작품들을 기획, 제작하며뛰어난 프로듀싱 능력으로 인정받고 있는 신춘수 프로듀서특유의 서정적인 감성으로 국내 뮤지컬 마니아들의전폭적인 지지를 받고 있는 박천휴 작가, 윌 애런스 작곡가현 뮤지컬계에서 가장 주목받고 있는 프로듀서와 창작진의 만남으로또 하나의 대형 창작 뮤지컬의 탄생을 예고하다난폭하고 미친 세상에서 소중한 꿈이 있다는 건 축복일까,아니면 그저 무거운 짐일 뿐일까1930년 경성을 배경으로 조선 최초 오페라 테너를 꿈꾸는 ‘윤이선’과 함께오페라 공연을 준비하는 독립운동가 ‘서진연’, ‘이수한’까지오페라 아리아를 뮤지컬적으로 해석한웅장하고 클래식한 사운드와 고전적인 가사말이 만나비극적인 시대, 꿈을 향해 달려가는 청춘들의 이야기에 숨결을 불어넣는다","나의 일 테노레. 피날레를 불러줘일제강점기 경성. 항일운동 모임인 ‘문학회' 멤버들은점점 심해지는 총독부의 검열을 피할 방법을 찾던 중뜻하지 않게 이탈리아 오페라 공연을 계획하게 된다.침략에 맞서 싸우는 베네치아 사람들을 주인공으로 한 오페라‘I Sognatori - 꿈꾸는 자들’이 경성 시민들의 항일정신을 고취할 것이라 기대하며,이 낯선 ‘서양 창극’을 공연하기 위해 뭉치는 사람들.그 중심엔 자신도 몰랐던 특별한 테너의 목소리를 가진 의대생 윤이선,지금 경성에서 가장 영민한 리더이자 연출 서진연,자칫 위험할 정도로 열정적인 독립운동가이자 무대디자이너 이수한이 있다.하지만 점점 뜻하지 않게 흘러가는 상황 속,이들의 ‘조선 최초 오페라'는 무사히 공연할 수 있을까?※ 일 테노레 (IL TENORE)는 이탈리아어로 ‘테너’를 뜻한다."
192985,태양의서커스 루치아 - 부산,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192985_01.549.gif,오리지널,2024/01/13 ~ 2024/02/04,부산 신세계 센텀시티 내 빅탑,,전체관람가,130분 (인터미션 : 25분),,"올 겨울, 가장 강렬하고 화려한 멕시코를 만나다 A WAKING DREAM OF MEXICO  역사적인 태양의서커스 최초 부산공연!  흥행돌풍을 일으킨 서울 공연에 이어 부산에서 만나는 경이로운 쇼  CIRQUE DU SOLEIL'S 38th ORIGINAL PRODUCTION  CIRQUE DU SOLEIL  LUZIA  태양의서커스  루치아  IN 부산  2024.1.13(토) 개막 신세계 센텀시티 내 빅탑  OFFICIAL PARTNERS  ORGANIZERS  SUPPORTER  Rinterpark yes24  SBS mast  부산광역시  장터미디어  World EXPO 2030  KNN  노란마리골드 꽃밭에 추락한 낙하산 거대한 금속 열쇠를 돌리자 펼쳐지는 초현실적인 상상의 멕시코!  태양의서커스 공연 중 기술적으로 가장 까다로운 쇼  빅탑투어 쇼 최초  10,000리터의 물을 활용한 아크로바틱!  다른 어떤 쇼에서도 선보인적 없는 기술속  심장을 멎게 하는 아슬아슬한 액트  화려하고 압도적인 비주얼  멕시코의 전설과 신화의 다양한 동물들을 모티브로 한 화려한 코스튬과실감나는 퍼펫  40미터의 실크로 만들어진 거대한 나비 날개를 비롯한  1,000벌 이상의 매혹적인 비주얼의 의상  올 겨울 만나는 가장 뜨겁고 활기찬 멕시코  라이브 연주로 펼쳐지는 경쾌하고 활기찬  라틴아메리카풍의 음악!  튜바, 트럼펫 등 브라스 선율과 어우러지는  스페인 기타의 매혹적인 멜로디, 퍼커션과 드럼 사운드!  멕시코풍의문화, 자연, 신화가 다채롭게 펼쳐지는 마법의 여정!    1984년 캐나다 퀘백에서 20명의 거리 예술가들과 함께 시작된 태양의서커스는  현재 70개국 1,500명의 아티스트를 포함하여 4,500명에 가까운 직원이 소속된 세계 최대 규모의 엔터테인먼트 회사입니다.  태양의서커스는 퍼포먼스와 연출·음악·의상·조명·무대 등 모든 면에서  서커스를 예술로 승화한 아트서커스를 선보이고 있습니다.  매년 1,500만장의 티켓을 판매하며 전 세계적인 흥행 성공 또한 누리고 있습니다.  90개국과 1,450개의 도시를 거쳐 매번 흥행 열풍을 일으킨 태양의서커스의 현재까지  누적 관람 인원은 3억 6천5백만 명에 이릅니다.  스페인어로 빛(luz)과 비(Lluvia)를 뜻하는 루치아(LUZIA).  영혼을 달래주는 '빛'과 '꿈만같은 상상의 멕시코로 안내합니다."
195494,아가사,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/11/0400012311_195494_01.423.gif,창작,2023/12/07 ~ 2024/03/03,링크아트센터 페이코홀,"최수진,백은혜,이정화,김재범,고상호,윤소호,이준우,정지우,홍기범,정평,이진혁,안두호,장재웅,김지훈,김남호,한세라,하미미,정다예,채서연,강인대...",중학생이상 관람가,135분,"‘죽음의 공작부인’ ‘추리 소설의 여왕’ 아가사 크리스티의 미스터리한 실종! 2023 뮤지컬<아가사> 10주년!초연부터 높은 완성도와 몰입감으로 큰 호평을 받았던 뮤지컬 <아가사>최고의 캐스팅으로 더욱 탄탄하게, 더욱 새롭게 돌아온다!최수진ㆍ백은혜ㆍ이정화ㆍ김재범ㆍ고상호ㆍ윤소호ㆍ이준우ㆍ정지우ㆍ홍기범 등거부할 수 없는 매력과 막강한 실력의 배우들이 선사하는 압도적인 무대!전 세계를 떠들썩하게 만든 실화! 1926년 ‘아가사 크리스티’ 실종 사건영국 대표 추리소설 작가 ‘아가사 크리스티’의 실종 실화를 바탕으로지금껏 세상에 밝혀지지 않은 11일 간의 미스터리를 좇는다!1953년 현재와 1926년 과거, 현실과 환상을 넘나드는드라마틱한 팩션으로 재탄생한 웰메이드 뮤지컬 <아가사>는‘아가사 크리스티’가 자신의 작품보다 더 미스터리하게 사라졌던 그날그 모든 사건의 정황을 한 편의 추리소설처럼 짜임새 있게 그려낸다.진실보다 더 진실 같은 이야기.더욱 완벽한 미스터리로 돌아온다.","“모두, 각자의 미궁 속으로, 사라져”1926년 12월 3일.영국의 유명 추리소설 작가 ‘아가사 크리스티’가 스타일스 저택에서의 티타임 후 돌연 실종된다.그로부터 27년 후 1953년.슬럼프에 빠진 천재 작가 ‘레이몬드 애쉬튼’이 반복되는 악몽의 실마리인 자신의 과거 기억을 찾으려 아가사 실종 사건을 다시 추적하기 시작하는데…아가사가 사라지기 전 마지막으로 티타임을 가진 사람들과 그녀의 미완성 원고 『미궁 속의 티타임』을 본 유일한 증인 ‘레이몬드’아가사가 하이드로 호텔에서 만난 미스터리한 남자 ‘로이’그리고 모든 기억을 잃어버린 ‘아가사 크리스티’아가사 실종 열하루.그녀에게 무슨 일이 있었던 것일까."
193867,시스터 액트,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193867_01.716.gif,라이선스,2023/11/21 ~ 2024/02/11,디큐브 링크아트센터,,8세이상,150분 (인터미션 : 20분),"Mega-Hit Worldwide MusicalEMK 1ST International Production영원한 클래식을 뛰어넘는 업그레이드된 명작!뮤지컬 <시스터 액트>는 세계가 열광한 우피 골드버그 주연의 <시스터 액트> 동명의 뮤지컬로 2006년 초연 이후 18년 동안 오스트리아부터 프랑스, 독일, 이탈리아, 모나코까지 수많은 나라에서 롱런하고 있는 뮤지컬이다.글로벌 히트 콘텐츠와 EMK의 월드클래스 제작 시스템이 만나 새롭게 태어난 뮤지컬 <시스터 액트>는 3개월에 걸친 치열한 오디션을 통해 완성된 최정예 캐스팅 라인업에 <엘리자벳>, <레베카>, <마리 앙투아네트>, <웃는 남자> 등 뮤지컬 미다스 손, 로버트 요한슨이 연출을 맡는다.국내외 최정상 배우들이 선사하는 최고의 하모니그 어느때보다 HIP하고 Powerful한 수녀들이 온다![Worldwide Review]“In a word, DIVINE!” - Associated Press한 마디로, 굉장하다! - AP통신”All’s right in the kingdom of musical comedy!” - The New York Times모든 관객들을 흥분과 감동의 현장으로 이끈다 - 뉴욕 타임즈“SISTER ACT“ sends audiences home on a giddy, heavenly high!” - Miami Herald<시스터 액트>는 관객들에게 아찔한 천상의 행복을 안겨준다 - 마이애미 헤럴드“Stellar original score and witty lyrics…. Exceptionally witty choreography.” - Chicago Tribune훌륭한 음악과 유머러스한 가사, 독창적이고 위트 있는 안무 -시카고 트리뷴“SISTER ACT“ will knock your socks off & warm the cockles of your heart!” - Toronto Star<시스터 액트>는 당신에게 비교할 수 없는 놀라움과 감동을 선사할 것이다! - 토론토 스타","“Deloris, you're fabulous baby!”클럽에서 삼류 가수로 일하는 들로리스는 우연히 암흑가의 거물인 커티스의 범죄 현장을 목격한다.잡히기만 하면 당장 목이 비틀릴 상황에 놓인 그녀는 그 순간부터 쫓기는 신세가 된다.경찰에 신고한 들로리스는 증인이 될 것을 약속하고 보호를 받는데,경찰에서는 그 누구도 상상할 수 없는 곳, 외부와 단절된 수녀원에 들로리스를 숨긴다.수녀로 변신한 들로리스는 엄격한 생활방식과 보수적인 수녀원장의 감시 아래답답함을 느끼며 몸부림치기 시작한다.수녀원에서 매일매일 말썽을 피우던 어느 날 들로리스의 손에 성가대 지휘봉이 주어지고그녀만의 넘치는 에너지와 매력적인 목소리는성가대의 재미있고 파격적인 공연으로 탄생, 큰 감동을 선사한다.이를 계기로 들로리스는 수녀원에서 유명인사가 되지만그녀의 위장이 들통나면서 위험에 빠지게 되는데..."
193000,지하철 1호선,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_193000_01.536.gif,창작,2023/11/10 ~ 2023/12/31,학전블루소극장,"서율,이호용,이일진,임규한,윤선희,서미소,윤민형,김태겸,박두희,이혜민,유선봉,백나영,정윤정,박형주,유현수,이세룡,김지은,이가은,조관우...",14세이상,160분 (인터미션 : 15분),"[2023 제6회 종로문화다양성연극제 선정작][2021 DIMF 공식초청작 선정, 한국뮤지컬대상 '특별상' 수상]'아침이슬' '상록수' 김민기 연출X'기생충' '오징어 게임' 정재일 편곡, 타고 내리는 삶에 대한 두 예술가의 찬가!<지하철 1호선>은 연변에서 온 '선녀'가 하룻밤 사랑을 나눈 '제비'를 찾아 서울에 와, 지하철 1호선에 몸을 싣게 되면서 겪는 이야기를 다양한 인물들과의 만남을 통해 그려낸다.작품의 배경인 90년대 말 그 시절처럼, 여전히 무질서한 현대사회를 살아가는 사람들에게 희망 가득한 이정표를 제시하고 있다. 가난하고 상처 받은 밑바닥 서민들의 인생이지만, 그 속에서도 사람을 향한 연민을 잃지 않고 서로를 보듬고 이해해주며 다시 또 삶을 살아가는 사람들을 통해, 삶에 대한 의미 있는 메시지를 담았다.","연변에서 만났던 ‘제비’를 찾기 위해 서울역에 도착한 ‘선녀’. 설레는 마음도 잠시, 서울의 모습은 낯설고 청량리행 지하철에서 만나 사람들은 냉담하다. 제비가 알려준 청량리 588에 도착하지만 제비는 없고 예상과도 다른 곳이다. 선녀는 ‘곰보할매’의 포장마차에서 제비와 함께 연변에 왔었던 ‘빨강바지’를 만나 그의 행방을 묻지만, 돌아온 빨강바지의 대답은 선녀를 절망에 빠뜨린다.다시 지하철에 오른 선녀는 ‘안경’을 찾고 있는 청량리 588의 ‘걸레’와 만나고 걸레는 실의에 빠진 선녀를 위로한다.그리고 얼마 후, 급정거한 열차 안으로 누군가의 사고 소식이 들려오는데…"
193775,그날들 - 대전,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193775_01.808.gif,창작,2023/11/17 ~ 2023/11/19,대전예술의전당 아트홀,"유준상,오만석,엄기준,이건명,오종혁,김건우,김지현,효은,고창석,서현철,이정열,이진희,김보정,최지호,김산호,손우민,박정표,곽나윤,이정화,김석영...",8세이상,165분 (인터미션 : 20분),,"1992년, 청와대 경호실. '그날'은 그렇게 시작되었다.  청와대 경호원이 된 '정학'은 자신과는 다른,  ""자유분방한 동기 '무영'을 만난다. 신입 경호원 중 최고의 인재로  '히던 '정학'과 '무영'은 라이벌이자 친구로 우정을 쌓아간다.  한중 수교를 앞두고 그들에게 내려진 첫 임무는  신분을 알 수 없는 '그녀를 보호하는 일.  그런데, 갑자기 '그녀'가 사라졌다. '무영도 함께.  2012년, '그날'의 흔적을 발견하게 되었다.  한중 수교 20주년 기념행사가 한창인 청와대.  경호부장이 된'정학'에게 전해진 다급한 소식.  대통령의 딸 '하나'와 수행 경호원 '대식'이 사라졌다.  마치 20년 전 '그날처럼. 그들의 행방을 쫓는 '정학' 앞에,  사라졌던 '무영'과 '그녀'의 흔적들이 하나둘씩 발견되는데"
